ProgramCode,Program,CourseCode,TitleEn,TitleFr,Instructors,Terms,Credits,Year,CourseURL,ProgramURL,Eligible
MA-IREM,Electromechanical Engineering,PROJ-H405,Project in Electromechanical Engineering,Project in Electromechanical Engineering,"Emanuele GARONE (Coordinator)
                              
                                    , 
                                    Aurélie BELLEMANS
                              
                                    , 
                                    Svend BRAM
                              
                                    , 
                                    Alain DELCHAMBRE
                              
                                    , 
                                    Johan GYSELINCK
                              
                                    , 
                                    Patrick HENDRICK
                              
                                    , 
                                    Pierre HENNEAUX
                              
                                    , 
                                    Joeri VAN MIERLO
                              
                                                                  
                                             and                                                  
                                        
                                    Bram VANDERBORGHT",first and second terms,5,,https://www.ulb.be/en/programme/proj-h405,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,PROJ-H417,Projet coopération au développement / Development cooperation project,Projet coopération au développement / Development cooperation project,Antoine NONCLERCQ (Coordinator),first and second terms,5,,https://www.ulb.be/en/programme/proj-h417,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,PROJ-H418,Hands-on learning: project manager (chef de projet),Hands-on learning: project manager (chef de projet),Péter BERKE (Coordinator),first and second terms,5,,https://www.ulb.be/en/programme/proj-h418,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,PROJ-H420,Eco-marathon project,Eco-marathon project,"Patrick HENDRICK (Coordinator)
                              
                                                                  
                                             and                                                  
                                        
                                    Johan GYSELINCK",first and second terms,5,,https://www.ulb.be/en/programme/proj-h420,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,CNST-H421,Structural analysis and finite elements,Structural analysis and finite elements,"Péter BERKE (Coordinator)
                              
                                                                  
                                             and                                                  
                                        
                                    Ellen Roels",first term,5,,https://www.ulb.be/en/programme/cnst-h421,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,MECA-H406,Composite structures,Composite structures,Patrick HENDRICK (Coordinator),second term,3,,https://www.ulb.be/en/programme/meca-h406,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,MECA-H411,Mechanical Vibrations,Mechanical Vibrations,"Arnaud DERAEMAEKER (Coordinator)
                              
                                                                  
                                             and                                                  
                                        
                                    Wout Weijtjens",first term,5,,https://www.ulb.be/en/programme/meca-h411,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,MECA-H420,Piston Engines,Piston Engines,Axel COUSSEMENT (Coordinator),first term,3,,https://www.ulb.be/en/programme/meca-h420,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,MECA-H407,Computational Modelling in Aerospace,Computational Modelling in Aerospace,Axel COUSSEMENT (Coordinator),second term,3,,https://www.ulb.be/en/programme/meca-h407,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,MECA-H421,Aircraft Structures,Aircraft Structures,Simon BERGE (Coordinator),second term,4,,https://www.ulb.be/en/programme/meca-h421,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,MECA-H423,"Aerospace Seminars : Sustainability, Space & Drones","Aerospace Seminars : Sustainability, Space & Drones",Thierry MAGIN (Coordinator),second term,3,,https://www.ulb.be/en/programme/meca-h423,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,MECA-Y402,Aerodynamics,Contenu du cours,Thierry MAGIN (Coordinator),first term,5,,https://www.ulb.be/en/programme/meca-y402,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,ELEC-H406,Electrical drives,Electrical drives,"Johan GYSELINCK (Coordinator)
                              
                                                                  
                                             and                                                  
                                        
                                    Omar HEGAZY",second term,5,,https://www.ulb.be/en/programme/elec-h406,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,MATH-H407,Control system design,Control system design,Emanuele GARONE (Coordinator),first term,5,,https://www.ulb.be/en/programme/math-h407,https://www.ulb.be/en/programme/m-iremr,True
MA-IREM,Electromechanical Engineering,MECA-H402,Turbomachinery,Contenu du cours,Patrick HENDRICK (Coordinator),second term,5,,https://www.ulb.be/en/programme/meca-h402,https://www.ulb.be/en/programme/m-iremr,True
