ProgramCode,Program,CourseCode,TitleEn,TitleFr,Instructors,Terms,Credits,Year,CourseURL,ProgramURL
MA-IREM,Electromechanical Engineering,PROJ-H405,Projects - Block 1,Ce site utilise des cookies,Data-Driven Engineering,"4 credits [lecture: 36h, tutorial classes: 12h] - second term",3,,https://www.ulb.be/en/programme/proj-h405,https://www.ulb.be/en/programme/m-iremr
MA-IREM,Electromechanical Engineering,MEMO-H502,Master Thesis - Block 2,Ce site utilise des cookies,Model-Based and Data-Driven Fault Detection and Isolation,5 credits [project: 150h] - academic year,,,https://www.ulb.be/en/programme/memo-h502,https://www.ulb.be/en/programme/m-iremr
MA-IREM,Electromechanical Engineering,ELEC-H406,Common courses - Block 1,Ce site utilise des cookies,Data-Driven Engineering,5 credits [project: 150h] - first and second terms,,,https://www.ulb.be/en/programme/elec-h406,https://www.ulb.be/en/programme/m-iremi
MA-IREM,Electromechanical Engineering,MATH-H503,Partially common courses - Block 2,Ce site utilise des cookies,Model-Based and Data-Driven Fault Detection and Isolation,5 credits [project: 150h] - academic year,10,,https://www.ulb.be/en/programme/math-h503,https://www.ulb.be/en/programme/m-iremi
MA-IREM,Electromechanical Engineering,ELEC-H509,Partially common courses - Block 2,Ce site utilise des cookies,,5 credits [project: 150h] - academic year,10,,https://www.ulb.be/en/programme/elec-h509,https://www.ulb.be/en/programme/m-iremi
MA-IRIF,Computer Science and Engineering (Professional),ELEC-H417,Tronc commun / Core courses,Ce site utilise des cookies,Dragomir MILOJEVIC (Coordinator),"5 credits [lecture: 24h, tutorial classes: 24h] - first term",,,https://www.ulb.be/en/programme/elec-h417,https://www.ulb.be/en/programme/m-irifs
MA-IRIF,Computer Science and Engineering (Professional),INFO-H505,Tronc commun / Core courses - Block 2,Ce site utilise des cookies,Dragomir MILOJEVIC,5 credits [project: 150h] - academic year,10,,https://www.ulb.be/en/programme/info-h505,https://www.ulb.be/en/programme/m-irifs
MA-IRAR,Architecture and Engineering,ARCH-H400,Compulsory common courses - Block 1,Ce site utilise des cookies,,"5 credits [lecture: 36h, practical work: 24h] - second term",,,https://www.ulb.be/en/programme/arch-h400,https://www.ulb.be/en/programme/ma-irar
MA-IRAR,Architecture and Engineering,ARCH-H5041,Advanced design studio MA2,Ce site utilise des cookies,,5 credits [project: 150h] - academic year,6,,https://www.ulb.be/en/programme/arch-h5041,https://www.ulb.be/en/programme/ma-irar
MA-IRCB,Biomedical Engineering,ELEC-H310,ENGINEERING SCIENCE,Ce site utilise des cookies,Dragomir MILOJEVIC (Coordinator),5 credits [project: 150h] - academic year,,,https://www.ulb.be/en/programme/elec-h310,https://www.ulb.be/en/programme/ma-ircb
MA-IRCB,Biomedical Engineering,MEMO-H500,Compulsory commun courses - Block 2,Ce site utilise des cookies,Model-Based and Data-Driven Fault Detection and Isolation,5 credits [project: 150h] - academic year,5,,https://www.ulb.be/en/programme/memo-h500,https://www.ulb.be/en/programme/ma-ircb
MA-IRCN,Civil Engineering,ARCH-Y400,Compulsory common courses - Fundamentals in civil engineering - Block 1,Ce site utilise des cookies,,5 credits [project: 150h] - first and second terms,,,https://www.ulb.be/en/programme/arch-y400,https://www.ulb.be/en/programme/ma-ircn
MA-IRCN,Civil Engineering,MEMO-H501,Thesis - Block 2,Ce site utilise des cookies,,5 credits [project: 150h] - academic year,6,,https://www.ulb.be/en/programme/memo-h501,https://www.ulb.be/en/programme/ma-ircn
